,date,open,high,close,low,volume,time,bb_bbm,bb_bbh,bb_bbl
46,2016-02-17,407.41,420.13,415.2,405.69,8707.1340027,1455667200,383.267,410.1591669636345,356.3748330363655
47,2016-02-18,415.18,423.2,421.19,415.01,6518.6376118,1455753600,385.39250000000004,416.833560971284,353.9514390287161
48,2016-02-19,421.18,422.0,420.72,416.0,5800.21753183,1455840000,387.5055,422.3002665461344,352.71073345386554
49,2016-02-20,420.72,444.03,437.46,420.09,9368.59512888,1455926400,390.981,430.7926349325169,351.1693650674831
50,2016-02-21,438.04,448.7,438.56,426.01,7111.14458641,1456012800,394.34250000000003,438.106497018097,350.57850298190306
51,2016-02-22,438.56,439.0,437.55,430.95,5131.79988328,1456099200,397.5735,443.99772396766593,351.1492760323341
52,2016-02-23,437.45,440.9,419.97,414.16,9159.03224463,1456185600,400.1285,445.56679806451825,354.6902019354817
53,2016-02-24,420.32,425.6,423.94,410.0,7232.28236528,1456272000,401.92600000000004,448.1390260424484,355.7129739575517
54,2016-02-25,423.87,426.44,423.54,418.6,6049.81811526,1456358400,403.87800000000004,450.2795351470187,357.4764648529814
55,2016-02-26,423.51,430.85,430.85,419.53,6782.03746528,1456444800,406.6485,452.5413488002217,360.7556511997783
56,2016-02-27,430.84,434.97,433.12,430.14,5520.65526894,1456531200,409.43,454.65511514634335,364.20488485365667
57,2016-02-28,433.09,436.07,433.73,423.0,5149.93009024,1456617600,412.5595,455.349792579042,369.769207420958
58,2016-02-29,433.73,442.0,436.44,431.13,7578.8900694,1456704000,415.74750000000006,455.5763402417146,375.9186597582855
59,2016-03-01,436.41,437.78,433.08,427.5,7580.23306278,1456790400,418.47950000000003,455.06083976496797,381.8981602350321
60,2016-03-02,433.03,435.36,420.39,418.36,7437.60843525,1456876800,420.5875,452.165107809966,389.00989219003395
61,2016-03-03,420.44,422.8,418.8,408.63,11833.72087093,1456963200,422.425,448.6404713861878,396.2095286138122
62,2016-03-04,418.76,422.21,407.35,405.5,8961.10957184,1457049600,423.2425,446.3189536920219,400.1660463079781
63,2016-03-05,407.38,408.83,396.08,381.09,14903.33778457,1457136000,422.717,447.6873272705832,397.7466727294168
64,2016-03-06,396.13,409.27,403.24,385.01,7676.29322299,1457222400,422.9315,447.14368393701886,398.7193160629812
65,2016-03-07,403.24,418.74,412.21,395.0,9910.74424239,1457308800,423.171,446.85367712907544,399.48832287092455
66,2016-03-08,412.21,416.33,411.18,407.4,7501.47649557,1457395200,422.96999999999997,446.98576648787275,398.9542335121272
67,2016-03-09,411.18,414.0,412.8,408.75,5399.36136204,1457481600,422.5505,446.96576610545196,398.13523389454804
68,2016-03-10,412.64,416.52,415.98,410.71,7909.17586749,1457568000,422.31350000000003,446.8867515349522,397.74024846504784
69,2016-03-11,415.98,421.0,419.39,414.97,7041.45814304,1457654400,421.41,444.99824961712994,397.8217503828701
70,2016-03-12,419.48,421.3,410.58,406.52,6897.105099,1457740800,420.01099999999997,442.6651386064451,397.3568613935548
71,2016-03-13,410.56,416.38,412.52,410.01,4663.32879725,1457827200,418.7595,440.12874657071524,397.39025342928477
72,2016-03-14,412.51,415.84,415.02,411.61,6672.7126524,1457913600,418.512,439.9340303426175,397.0899696573825
73,2016-03-15,415.02,416.94,415.41,412.48,7355.07959993,1458000000,418.08549999999997,439.3976472170221,396.77335278297784
74,2016-03-16,415.41,416.39,416.07,413.0,6274.8088109,1458086400,417.712,438.89009585397196,396.533904146028
75,2016-03-17,416.06,419.75,418.41,415.7,6108.4432848,1458172800,417.09,437.4010866277514,396.77891337224855
76,2016-03-18,418.42,418.66,409.65,399.21,8597.5867638,1458259200,415.9165,435.0661833133089,396.7668166866911
77,2016-03-19,409.66,411.0,410.2,404.72,4840.13357914,1458345600,414.73999999999995,432.18262824232687,397.29737175767303
78,2016-03-20,410.09,415.34,411.27,409.36,4726.10717472,1458432000,413.4815,427.83908235219343,399.12391764780654
79,2016-03-21,411.25,412.13,412.0,406.89,6020.51810823,1458518400,412.42749999999995,423.62192874826644,401.23307125173346
80,2016-03-22,411.98,417.79,416.66,411.0,6124.69185606,1458604800,412.241,423.01497958045286,401.4670204195471
81,2016-03-23,416.66,418.99,417.53,413.95,5506.91945281,1458691200,412.17749999999995,422.81014383867034,401.54485616132956
82,2016-03-24,417.53,417.72,412.95,410.0,5064.58936525,1458777600,412.4575,422.8593226768204,402.05567732317957
83,2016-03-25,412.86,416.87,416.41,411.0,4598.6610383,1458864000,413.474,420.7914296033523,406.1565703966477
84,2016-03-26,416.42,417.77,416.97,414.37,3641.00285678,1458950400,414.16050000000007,419.9187201243109,408.40227987568926
85,2016-03-27,416.96,426.5,425.3,416.35,4658.09803054,1459036800,414.81499999999994,422.2648604013779,407.36513959862197
86,2016-03-28,425.29,425.36,423.0,419.63,5717.86007067,1459123200,415.40599999999995,423.4595393461521,407.3524606538478
87,2016-03-29,422.92,424.62,416.39,407.75,7361.85527519,1459209600,415.58549999999997,423.5583300496135,407.6126699503864
88,2016-03-30,416.4,416.41,412.79,407.56,5831.49360379,1459296000,415.42600000000004,423.4880156288624,407.3639843711377
89,2016-03-31,412.97,417.6,416.03,412.74,5235.54278385,1459382400,415.258,423.1201564471855,407.3958435528145
90,2016-04-01,416.03,417.68,417.68,414.12,5353.92318385,1459468800,415.613,423.2357215612287,407.9902784387713
91,2016-04-02,417.68,420.5,419.95,417.04,3952.0183139,1459555200,415.9845,423.69179647801496,408.2772035219851
92,2016-04-03,419.95,420.8,420.16,418.33,3266.97381272,1459641600,416.2415,424.1433435190797,408.33965648092027
93,2016-04-04,420.08,421.0,419.47,417.58,5323.83529462,1459728000,416.44449999999995,424.4582793206465,408.4307206793534
94,2016-04-05,419.48,423.43,422.36,418.01,5727.68629636,1459814400,416.759,425.1730118849466,408.3449881150534
95,2016-04-06,422.4,423.0,421.46,420.61,5211.96140153,1459900800,416.9115,425.54731443756305,408.27568556243693
96,2016-04-07,421.36,422.74,421.99,419.41,5026.31118662,1459987200,417.5285,425.7544887551603,409.3025112448397
97,2016-04-08,421.99,424.65,419.48,415.71,6437.97595515,1460073600,417.9925,425.5308018644801,410.4541981355199
98,2016-04-09,419.48,419.79,419.46,415.51,3519.98911149,1460160000,418.40199999999993,425.2974727176622,411.5065272823377
99,2016-04-10,419.46,423.99,423.4,419.46,2990.03664436,1460246400,418.9719999999999,425.53300784941035,412.4109921505895
100,2016-04-11,423.29,424.0,423.94,420.15,5093.21825161,1460332800,419.33599999999996,426.14657824270637,412.52542175729354
101,2016-04-12,423.95,429.77,427.8,423.14,6997.06357807,1460419200,419.8495,427.53095682797385,412.1680431720261
102,2016-04-13,427.8,429.44,425.58,423.59,5885.07514476,1460505600,420.48100000000005,427.8604793854328,413.1015206145673
103,2016-04-14,425.58,428.0,426.32,424.52,4732.22672175,1460592000,420.97650000000004,428.52493102903037,413.4280689709697
104,2016-04-15,426.35,431.1,430.93,425.72,4184.00939072,1460678400,421.67449999999997,430.1381882622193,413.21081173778066
105,2016-04-16,430.82,434.89,433.39,429.89,4133.98598682,1460764800,422.079,431.86681262591543,412.2911873740846
106,2016-04-17,433.69,434.93,431.0,429.15,3299.73395797,1460851200,422.479,433.0103093203091,411.9476906796909
107,2016-04-18,431.08,434.46,430.97,428.44,5277.32120606,1460937600,423.20799999999997,433.9684341919845,412.44756580801544
108,2016-04-19,430.9,438.2,437.06,429.22,6226.60528301,1461024000,424.42150000000004,435.6716222660037,413.1713777339964
109,2016-04-20,437.06,444.07,442.96,436.17,7150.95669528,1461110400,425.76800000000003,438.9575695153418,412.57843048465827
110,2016-04-21,442.87,453.8,452.25,441.99,7693.43100861,1461196800,427.4965,444.50208764053843,410.4909123594616
111,2016-04-22,452.25,452.95,448.41,445.07,6814.7817311,1461283200,428.91949999999997,447.81858090357923,410.0204190964207
112,2016-04-23,448.57,455.84,455.69,447.03,4618.30821378,1461369600,430.696,452.4339303522676,408.95806964773243
113,2016-04-24,455.68,465.0,464.46,454.55,6188.49079492,1461456000,432.9455,458.54029515448474,407.3507048455152
114,2016-04-25,464.47,472.38,466.17,454.65,9493.32784683,1461542400,435.13599999999997,464.0196163940743,406.2523836059256
115,2016-04-26,466.17,472.11,470.59,464.01,7471.24056177,1461628800,437.59250000000003,469.5943179952334,405.5906820047667
116,2016-04-27,470.3,470.79,445.31,434.0,11629.49770098,1461715200,438.7585,470.09382337474824,407.4231766252518
